,Country,Average annual working hours per worker
0,Argentina,1691.5363
1,Australia,1737.572766666667
2,Austria,1607.0995333333333
3,Bangladesh,2232.3542
4,Belgium,1544.8980333333332
5,Brazil,1709.4856
6,Bulgaria,1643.8267666666663
7,Cambodia,2455.5508
8,Canada,1702.1675666666667
9,Chile,1978.6666666666667
10,China,2174.3501
11,Colombia,1997.7480000000003
12,Costa Rica,2193.8924
13,Croatia,1832.5054666666667
14,Cyprus,1785.5824333333333
15,Czechia,1770.2400333333335
16,Denmark,1407.2055
17,Ecuador,1701.3558
18,Estonia,1854.4995333333334
19,Finland,1643.7449666666664
20,France,1508.7594333333334
21,Germany,1360.1933999999999
22,Greece,2026.0421333333334
23,Hong Kong,2185.5789
24,Hungary,1932.7953
25,Iceland,1498.6328999999998
26,India,2117.0117
27,Indonesia,2024.287
28,Ireland,1741.6474333333333
29,Israel,1912.2262
30,Italy,1721.6741333333332
31,Japan,1743.7544333333335
32,Latvia,1892.9416
33,Lithuania,1862.8411333333333
34,Luxembourg,1519.7989666666665
35,Malaysia,2238.2729
36,Malta,2012.1650666666667
37,Mexico,2252.6666666666665
38,Myanmar,2437.8633
39,Netherlands,1430.2240333333332
40,New Zealand,1753.6666666666667
41,Nigeria,1785.9861
42,Norway,1423.0404666666666
43,Pakistan,2096.1443
44,Peru,1932.4581
45,Philippines,2148.5645
46,Poland,2042.6211
47,Portugal,1867.5597333333335
48,Romania,1794.8205666666665
49,Russia,1975.3333333333333
50,Singapore,2251.152833333333
51,Slovakia,1746.4425666666666
52,Slovenia,1669.9555333333335
53,South Africa,2209.0916
54,South Korea,2067.6529666666665
55,Spain,1695.7877666666666
56,Sri Lanka,1923.9354
57,Sweden,1615.2735666666667
58,Switzerland,1589.6089
59,Taiwan,2012.2272333333333
60,Thailand,2185.4456
61,Turkey,1832.0
62,United Kingdom,1669.2450333333334
63,United States,1761.0680333333332
64,Uruguay,1552.347
65,Vietnam,2169.5916
