,Unnamed: 0,Country,Value,Lower_value,Upper_value,Unnamed: 0.1,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Gini index,new_value,Region,Happiness Rank,Average Temperature
0,1,Switzerland,9.96,8.215,11.9025,138,7.509,7.428,7.59,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,33.00022,21.606476661887083,Western Europe,2,6.992051484523055
1,2,Iceland,11.2975,8.967500000000001,13.92,59,7.501,7.333,7.669,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,26.4089625,18.51104152355852,Western Europe,3,1.4050650663297544
2,3,Norway,10.375,9.49,11.36,107,7.498,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,27.649185,17.52788378638807,Western Europe,4,0.09580385344283013
3,4,Finland,13.875,11.5375,16.44,45,7.413,7.351,7.475,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,27.2802775,19.403033826939218,Western Europe,5,1.2447422615287405
4,5,Canada,10.7225,8.865,15.065,25,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,33.156612499999994,23.02302711523105,North America,6,-5.216658945686897
5,6,Netherlands,9.325,7.795,11.03,101,7.339,7.284,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,28.2378875,19.27921969303875,Western Europe,7,9.504604548325991
6,7,New Zealand,11.155,9.445,13.085,102,7.334,7.264,7.404,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,,,Australia and New Zealand,8,10.371239107883817
7,8,Australia,11.305,9.535,15.285,6,7.313,7.241,7.385,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,34.399429999999995,23.815228152281517,Australia and New Zealand,9,21.624696891191693
8,9,Sweden,12.4275,10.7325,14.24,137,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,29.5712875,20.368565790289363,Western Europe,10,2.386331964624136
9,10,Israel,5.1,4.0925,6.279999999999999,65,7.267,7.199,7.335,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,39.01302,29.165124172061656,Middle East and Northern Africa,11,19.626577302631585
10,11,Austria,10.8725,9.1725,12.795,7,7.119,7.045,7.193,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,30.5580575,21.069000882527337,Western Europe,12,6.210731838281731
11,12,Costa Rica,6.8725000000000005,5.105,12.8925,34,7.087,6.999,7.175,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,48.30227,45.19341498329887,Latin America and Caribbean,13,25.615784434203807
12,13,United States,14.165,13.3575,18.8025,153,6.998,7.02,7.188,1.47048,1.25241,0.8265,0.467815,0.13834,0.41077,2.72782,41.40784,28.159403732114683,North America,14,8.603572522159553
13,14,Germany,8.4725,7.0825,10.02,50,6.994,6.93,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,31.87067,22.012107440585137,Western Europe,15,8.152496209728362
14,15,Brazil,6.195,5.6850000000000005,11.6525,19,6.952,6.875,7.029,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,53.46091750000001,49.15765627011421,Latin America and Caribbean,16,24.699255545286466
15,16,Belgium,14.465,12.215,16.9425,12,6.929,6.861,6.997,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,27.3494425,19.187339956082194,Western Europe,17,9.48337839545166
16,17,Ireland,9.1925,7.3875,11.2825,64,6.907,6.836,6.978,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,31.72175,21.384344179963733,Western Europe,18,9.419558433354414
17,18,United Kingdom,7.205,6.855,7.6075,152,6.8895,6.647,6.803,1.367915,1.31236,0.902955,0.47518,0.275995,0.50156,2.14999,35.14883,25.69518573887997,Western Europe,19,8.489325331648798
18,19,Luxembourg,7.932499999999999,6.0275,10.245,83,6.871,6.804,6.938,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,34.244975000000004,20.173532565153874,Western Europe,20,9.16519646241313
19,20,Mexico,5.5275,4.9075,6.2025,92,6.778,6.68,6.876,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,45.67692333333334,40.96291148019276,Latin America and Caribbean,21,20.56755804195808
20,21,Singapore,7.99,6.51,9.6525,125,6.739,6.674,6.804,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,,,Southeastern Asia,22,26.523102826510677
21,22,Czech Republic,10.4625,8.5525,12.6525,37,6.724,6.515,6.677,1.289075,1.247465,0.84188,0.43559,0.03793,0.09929,2.96211,24.99034,19.386257587805208,Central and Eastern Europe,23,7.626019267214149
22,23,Chile,8.3925,6.98,9.975,28,6.705,6.615,6.795,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,44.440940000000005,36.52579929317006,Latin America and Caribbean,24,9.383473684210513
23,24,Panama,3.085,2.2325,4.1525,110,6.701,6.601,6.801,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,49.83676,42.12530218247595,Latin America and Caribbean,25,26.29162063808573
24,25,Argentina,8.47,6.885,10.2475,4,6.65,6.56,6.74,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,41.8521425,36.34986364070629,Latin America and Caribbean,26,14.621194210526305
25,26,United Arab Emirates,5.0,2.7975,7.995,151,6.573,6.494,6.652,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,25.96615,16.50195103970715,Middle East and Northern Africa,27,27.693994700582884
26,27,Uruguay,18.73,15.285,22.5475,154,6.545,6.456,6.634,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,39.62947,33.53967179261491,Latin America and Caribbean,28,17.149306774809137
27,28,Malta,5.1375,3.8475,6.675,89,6.488,6.409,6.567,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,28.9128825,22.107692572372343,Western Europe,29,18.494875319693055
28,29,Colombia,4.055,2.985,8.8125,30,6.481,6.384,6.578,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,50.5099575,49.02356306778477,Latin America and Caribbean,30,24.716870967741926
29,30,France,10.2,8.4075,14.6825,46,6.478,6.397,6.559,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,32.0792975,22.99789049954118,Western Europe,31,12.772445672773216
30,31,Thailand,7.7325,5.05,11.005,143,6.474,6.396,6.552,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,36.1718175,33.20647893142385,Southeastern Asia,32,25.986800979519113
31,32,Saudi Arabia,5.66,3.425,8.754999999999999,121,6.379,6.287,6.471,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,,,Middle East and Northern Africa,33,25.54640783525872
32,33,Qatar,4.6775,2.93,7.3675,117,6.375,6.178,6.572,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,,,Middle East and Northern Africa,34,26.78499601593621
33,34,Spain,5.4925,4.5225,6.57,133,6.361,6.288,6.434,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,34.963085,26.04268433480071,Western Europe,35,13.6128341756159
34,35,Algeria,2.5825,1.3975,4.44,2,6.355,6.227,6.483,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,27.61573,26.23423517565026,Middle East and Northern Africa,36,22.985111769059955
35,36,Guatemala,6.19,4.5325,8.235,53,6.324,6.213,6.435,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,48.27859,57.8505404174755,Latin America and Caribbean,37,23.111650494159935
36,37,Suriname,25.74,17.7775,35.7625,136,6.269,6.073,6.465,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,57.60975000000001,52.522427657130365,Latin America and Caribbean,38,26.171663137632375
37,38,Kuwait,2.5425,1.8275,3.4450000000000003,74,6.239,6.154,6.324,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,,,Middle East and Northern Africa,39,25.09814023210831
38,39,Bahrain,6.862500000000001,4.2625,9.8575,9,6.218,6.128,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,,,Middle East and Northern Africa,40,25.93080933465739
39,41,Venezuela,2.21,1.495,3.13,156,6.084,5.973,6.195,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,,,Latin America and Caribbean,42,25.025685522531145
40,42,Slovakia,9.4875,6.4725,19.745,126,6.078,5.996,6.16,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,25.03601666666667,19.563514699715306,Central and Eastern Europe,43,7.52721699305117
41,43,El Salvador,6.0275,3.795,13.0,42,6.068,5.967,6.169,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,38.843775,44.4589389950784,Latin America and Caribbean,44,24.906704545454577
42,44,Malaysia,5.5725,3.5275,8.504999999999999,87,6.005,5.921,6.089,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,41.0664,32.815841204391816,Southeastern Asia,45,25.80544200779728
43,45,Nicaragua,4.755,3.275,9.8125,103,5.992,5.877,6.107,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,46.156290000000006,66.52295918367348,Latin America and Caribbean,46,25.957508780036967
44,46,Uzbekistan,8.785,6.9125,10.9275,155,5.987,5.896,6.078,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,35.2688,47.92542566346428,Central and Eastern Europe,47,12.27801593806923
45,47,Italy,4.484999999999999,4.125,5.9425,66,5.977,5.898,6.056,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,35.757562500000006,26.390318830953174,Western Europe,48,12.737121920404292
46,48,Ecuador,8.53,4.82,11.4625,40,5.976,5.88,6.072,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,45.211075,46.4627823566892,Latin America and Caribbean,49,21.869970347003168
47,49,Belize,7.2975,5.365,9.6675,13,5.956,5.71,6.202,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,53.26277000000001,60.791145452885324,Latin America and Caribbean,50,25.052099776286326
48,50,Japan,13.2175,12.6125,13.785,69,5.921,5.85,5.992,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,32.85473,23.806567782793632,Eastern Asia,51,11.95190733590733
49,51,Kazakhstan,20.165,16.25,24.7325,71,5.919,5.837,6.001,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,27.5653375,22.421233823804524,Central and Eastern Europe,52,5.202144758735441
50,52,South Korea,20.5575,11.8425,28.6775,131,5.865,5.747,5.923,1.33024,0.97047,0.961225,0.20534,0.06658,0.18824,2.35015,31.40486,23.60841652634111,Eastern Asia,53,11.849048745173734
51,53,Poland,10.5325,9.01,12.3275,114,5.835,5.749,5.921,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,30.6183625,24.57628326042461,Central and Eastern Europe,54,7.460205938092234
52,54,Lithuania,22.7325,18.4975,27.6,82,5.813,5.734,5.892,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,36.7741325,28.97426134572959,Central and Eastern Europe,55,5.907991787744772
53,55,Belarus,18.0725,13.3,24.3925,11,5.802,5.723,5.881,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,25.3173925,22.39248598114309,Central and Eastern Europe,56,5.819288060644335
54,56,Slovenia,13.835,10.465,18.055,127,5.768,5.683,5.853,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,24.5609925,18.900776855179423,Central and Eastern Europe,57,9.659700568540737
55,57,Russia,24.075,21.5625,27.59,119,5.752,5.789,5.923,1.20764,1.252305,0.6579550000000001,0.33041,0.03343,0.02736,2.59115,37.47301,31.029950978768507,Central and Eastern Europe,58,-5.521881912681911
56,58,Peru,2.7175,1.5925,4.1575,112,5.743,5.647,5.839,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,42.70846,42.87911889319492,Latin America and Caribbean,59,19.935974230044003
57,59,Moldova,12.4775,10.0225,20.765,93,5.713,5.823,5.971,0.688385,1.07966,0.6310450000000001,0.24851,0.009515,0.19997,3.38007,25.66165,37.27804934738555,Central and Eastern Europe,60,8.931716677195217
58,60,Turkmenistan,6.245,4.5325,8.3925,148,5.658,5.58,5.736,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,40.80693,37.778247868391084,Central and Eastern Europe,61,14.781998181818167
59,61,Mauritius,8.5275,6.4725,10.9625,91,5.648,5.507,5.789,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,36.76121,32.14179169726856,Sub-Saharan Africa,62,23.522653983353138
60,62,Libya,5.155,2.9225,8.4975,81,5.615,5.406,5.824,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,,,Middle East and Northern Africa,63,22.26825393848455
61,63,Latvia,16.16,12.0825,21.16,77,5.56,5.486,5.634,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,35.023465,28.75773064669754,Central and Eastern Europe,64,5.320545167403669
62,64,Cyprus,3.5625,2.23,4.88,36,5.546,5.442,5.65,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,32.446937500000004,24.60767156844157,Western Europe,65,18.78774568642161
63,65,Paraguay,6.0075,3.4925,8.615,111,5.538,5.453,5.623,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,47.0132375,52.60340091526524,Latin America and Caribbean,66,23.23796755725191
64,66,Romania,7.6575,6.1825,9.365,118,5.528,5.427,5.629,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,33.9713825,29.042816534154056,Central and Eastern Europe,67,8.760901768793424
65,67,Estonia,12.795,9.435,16.86,43,5.517,5.437,5.597,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,30.54869,23.872878309524552,Central and Eastern Europe,68,4.819805748578657
66,68,Jamaica,2.215,1.53,3.095,68,5.51,5.315,5.705,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,45.45747,50.88541748290106,Latin America and Caribbean,69,26.0963395638629
67,69,Croatia,11.115,8.5125,14.275,35,5.488,5.402,5.574,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,30.178312500000004,25.4349488828393,Central and Eastern Europe,70,11.342399873657591
68,70,Somalia,14.7925,7.0225,26.4725,128,5.44,5.321,5.559,0.0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,36.82241,inf,Sub-Saharan Africa,71,26.877085169743943
69,71,Turkey,2.2775,1.5925,3.2975000000000003,147,5.389,5.295,5.483,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,41.7665,35.85353500669574,Middle East and Northern Africa,72,11.63156730091614
70,72,Indonesia,2.5675,1.84,3.4975,61,5.314,5.237,5.391,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,36.227355,38.09235678835801,Southeastern Asia,73,25.684483767961684
71,73,Jordan,1.9125,1.2675,2.7575,70,5.303,5.187,5.419,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,33.65573,33.766145295115024,Middle East and Northern Africa,74,19.346512587701167
72,74,Azerbaijan,3.93,2.315,6.1375,8,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,26.55491,23.631041264360658,Central and Eastern Europe,75,11.175936074918587
73,75,Philippines,2.605,1.9,9.3025,113,5.279,5.16,5.398,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,37.81171,46.55639829099819,Southeastern Asia,76,26.440472486772517
