,Entity,Code,Year,Average annual working hours per worker
65,Argentina,ARG,2015,1691.5363
66,Argentina,ARG,2016,1691.5363
67,Argentina,ARG,2017,1691.5363
140,Australia,AUS,2015,1747.009
141,Australia,AUS,2016,1734.215
142,Australia,AUS,2017,1731.4943
208,Austria,AUT,2015,1598.8944
209,Austria,AUT,2016,1609.3523
210,Austria,AUT,2017,1613.0519
256,Bangladesh,BGD,2015,2232.3542
257,Bangladesh,BGD,2016,2232.3542
258,Bangladesh,BGD,2017,2232.3542
342,Belgium,BEL,2015,1544.61
343,Belgium,BEL,2016,1545.8151
344,Belgium,BEL,2017,1544.269
410,Brazil,BRA,2015,1709.4856
411,Brazil,BRA,2016,1709.4856
412,Brazil,BRA,2017,1709.4856
433,Bulgaria,BGR,2015,1644.3853
434,Bulgaria,BGR,2016,1643.5475
435,Bulgaria,BGR,2017,1643.5475
458,Cambodia,KHM,2015,2455.5508
459,Cambodia,KHM,2016,2455.5508
460,Cambodia,KHM,2017,2455.5508
533,Canada,CAN,2015,1707.073
534,Canada,CAN,2016,1702.9673
535,Canada,CAN,2017,1696.4624
600,Chile,CHL,2015,1988.0
601,Chile,CHL,2016,1974.0
602,Chile,CHL,2017,1974.0
648,China,CHN,2015,2174.3501
649,China,CHN,2016,2174.3501
650,China,CHN,2017,2174.3501
716,Colombia,COL,2015,1997.748
717,Colombia,COL,2016,1997.748
718,Colombia,COL,2017,1997.748
747,Costa Rica,CRI,2015,2156.9102
748,Costa Rica,CRI,2016,2212.3835
749,Costa Rica,CRI,2017,2212.3835
770,Croatia,HRV,2015,1827.651
771,Croatia,HRV,2016,1834.9327
772,Croatia,HRV,2017,1834.9327
793,Cyprus,CYP,2015,1789.7061
794,Cyprus,CYP,2016,1783.5206
795,Cyprus,CYP,2017,1783.5206
818,Czechia,CZE,2015,1756.161
819,Czechia,CZE,2016,1778.3971
820,Czechia,CZE,2017,1776.162
893,Denmark,DNK,2015,1412.2715
894,Denmark,DNK,2016,1408.9635
895,Denmark,DNK,2017,1400.3815
916,Ecuador,ECU,2015,1701.3558
917,Ecuador,ECU,2016,1701.3558
918,Ecuador,ECU,2017,1701.3558
939,Estonia,EST,2015,1851.6166
940,Estonia,EST,2016,1855.1993
941,Estonia,EST,2017,1856.6827
1007,Finland,FIN,2015,1637.1949
1008,Finland,FIN,2016,1634.7594
1009,Finland,FIN,2017,1659.2806
1082,France,FRA,2015,1509.4127
1083,France,FRA,2016,1502.7285
1084,France,FRA,2017,1514.1371
1157,Germany,DEU,2015,1368.1069
1158,Germany,DEU,2016,1358.5865
1159,Germany,DEU,2017,1353.8868
1224,Greece,GRC,2015,2031.1405
1225,Greece,GRC,2016,2030.0905
1226,Greece,GRC,2017,2016.8954
1282,Hong Kong,HKG,2015,2185.5789
1283,Hong Kong,HKG,2016,2185.5789
1284,Hong Kong,HKG,2017,2185.5789
1320,Hungary,HUN,2015,1923.7209
1321,Hungary,HUN,2016,1937.3325
1322,Hungary,HUN,2017,1937.3325
1374,Iceland,ISL,2015,1509.1685
1375,Iceland,ISL,2016,1493.3651
1376,Iceland,ISL,2017,1493.3651
1422,India,IND,2015,2117.0117
1423,India,IND,2016,2117.0117
1424,India,IND,2017,2117.0117
1470,Indonesia,IDN,2015,2024.287
1471,Indonesia,IDN,2016,2024.287
1472,Indonesia,IDN,2017,2024.287
1545,Ireland,IRL,2015,1740.5286
1546,Ireland,IRL,2016,1738.7294
1547,Ireland,IRL,2017,1745.6843
1582,Israel,ISR,2015,1895.4574
1583,Israel,ISR,2016,1920.6106
1584,Israel,ISR,2017,1920.6106
1657,Italy,ITA,2015,1717.9958
1658,Italy,ITA,2016,1724.4153
1659,Italy,ITA,2017,1722.6113
1742,Japan,JPN,2015,1750.9
1743,Japan,JPN,2016,1742.0
1744,Japan,JPN,2017,1738.3633
1765,Latvia,LVA,2015,1901.7413
1766,Latvia,LVA,2016,1902.4856
1767,Latvia,LVA,2017,1874.5979
1788,Lithuania,LTU,2015,1859.4974
1789,Lithuania,LTU,2016,1885.0089
1790,Lithuania,LTU,2017,1844.0171
1836,Luxembourg,LUX,2015,1521.0288
1837,Luxembourg,LUX,2016,1519.5106
1838,Luxembourg,LUX,2017,1518.8575
1884,Malaysia,MYS,2015,2238.2729
1885,Malaysia,MYS,2016,2238.2729
1886,Malaysia,MYS,2017,2238.2729
1908,Malta,MLT,2015,1964.5587
1909,Malta,MLT,2016,2031.9048
1910,Malta,MLT,2017,2040.0317
1976,Mexico,MEX,2015,2248.0
1977,Mexico,MEX,2016,2255.0
1978,Mexico,MEX,2017,2255.0
2024,Myanmar,MMR,2015,2437.8633
2025,Myanmar,MMR,2016,2437.8633
2026,Myanmar,MMR,2017,2437.8633
2099,Netherlands,NLD,2015,1423.9202
2100,Netherlands,NLD,2016,1436.729
2101,Netherlands,NLD,2017,1430.0229
